3.48mW+2.4GHz+range+Frequency+Synthesizer+Architecture+with+Two-Point+Channel+Control+for+Fast+Settling+Performance 0
A+Low+Jitter+Programmable+Frequency+Synthesizer+for+4.25Gbps+Serial+Link+Applications 0
3.125Gbps+Reference-less+Clock+and+Data+Recovery+using+4X+Oversampling 0
Digital+clock+frequency+doubler 0
Power+minimization+of+rotary+clock+design 0
Thermal-aware+mapping+and+placement+for+3-D+NoC+designs 0
An+IR+drop-driven+placer+for+standard+cells+in+a+SOC+design 0
Combined+simulator+statistics+and+block+code+sampling+to+study+performance+enhancement+of+microarchitecture 0
A+CMOS+Voltage+Reference+with+Temperature+Sensor+using+Self-PTAT+Current+Compensation 0
Hybrid+Voltage+and+Current+References+Based+on+Double+ZTC+Points 0
Automatic+gain+control+circuit+for+power+line+communication+application 0
CMOS+SoC+for+irrigation+control 0
A+Flow+Graph+Technique+for+DFT+Controller+Modification 0
Testing+system-on-a-chip+using+artificial+immune+system 0
