Annual+IEEE+International+SoC+Conference,+SoCC+2010,+September+27-29,+2010,+Las+Vegas,+NV,+USA,+Proceedings. 0
Delay+dependent+power+optimisation+of+combinational+circuits+using+AND-Inverter+graphs. 0
Simultaneous+co-design+of+distributed+on-chip+power+supplies+and+decoupling+capacitors. 0
Optimization+and+predication+of+leakage+current+characteristics+in+wide+domino+OR+gates+under+PVT+variation. 0
A+run-time+distributed+cooperative+approach+to+optimize+power+consumption+in+MPSoCs. 0
Highly+programmable+switched-capacitor+filters+using+biquads+with+nonuniform+internal+clocks. 0
A+digitally+self-calibrated+low-noise+7-bit+folding+A/D+converter. 0
A+high-resolution+and+fast-conversion+readout+circuit+for+differential+capacitive+sensors. 0
Jitter+transfer+function+model+and+VLSI+jitter+filter+circuits. 0
A+holistic+view+on+low+power+design. 0
A+10B+200MHz+pipeline+ADC+with+minimal+feedback+penalty+and+0.35pJ/conversion-step. 0
High+speed+recursion-free+CORDIC+architecture. 0
A+1+ppm/&#176;C+bandgap+voltage+reference+with+new+second-order+Taylor+curvature+compensation. 0
Frequency-independent+fast-lock+register-controlled+DLL+with+wide-range+duty+cycle+adjuster. 0
A+1.7Gbps+DLL-based+Clock+Data+Recovery+in+0.35&#181;m+CMOS. 0
A+CMOS+5.4/3.24Gbps+dual-rate+clock+and+data+recovery+design+for+DisplayPort+v1.2. 0
Low-power+SOC+implementation:+What+you+need+to+know. 0
System-level+exploration+of+mesh-based+NoC+architectures+for+multimedia+applications. 0
A+40+Mbps+H.264/AVC+CAVLC+decoder+using+a+64-bit+multiple-issue+video+parsing+coprocessor. 0
A+high-efficiency+reconfigurable+2-D+Discrete+Wavelet+Transform+engine+for+JPEG2000+implementation+on+next+generation+digital+cameras. 0
Orthogonal+shift+level+comparison+reuse+for+structuring+element+shape+independent+VLSI-Architectures+of+2D+morphological+operations. 0
Case+study:+Runtime+reduction+of+a+buffer+insertion+algorithm+using+GPU+parallel+programming. 0
Unleash+the+parallelism+of+3DIC+partitioning+on+GPGPU. 0
Routability-driven+RDL+routing+with+pin+reassignment. 0
Statistical+electro-thermal+analysis+with+high+compatibility+of+leakage+power+models. 0
Variation-tolerant+design+of+D-flipflops. 0
High+speed+and+low+power+transceiver+design+with+CNFET+and+CNT+bundle+interconnect. 0
NBTI-aware+statistical+timing+analysis+framework. 0
Implementation+of+a+hardware-efficient+EEG+processor+for+brain+monitoring+systems. 0
Design+and+analysis+of+an+advanced+static+blocked+multithreading+architecture. 0
A+Folding+Strategy+for+SAT+solvers+based+on+Shannon's+expansion+theorem. 0
TERA:+A+FPGA-based+trace-driven+emulation+framework+for+designing+on-chip+communication+architectures. 0
Expandable+MDC-based+FFT+architecture+and+its+generator+for+high-performance+applications. 0
A+SystemCAMS+extension+for+the+simulation+of+non-linear+circuits. 0
An+automated+control+code+generation+approach+for+the+SegBus+platform. 0
From+Film+to+Silicon:+The+Migration+of+Document+Archiving+Technology. 0
Power+noise+suppression+technique+using+active+decoupling+capacitor+for+TSV+3D+integration. 0
Estimation+of+maximum+application-level+power+supply+noise. 0
Simultaneous+voltage+island+generation+and+floorplanning. 0
Footer+voltage+feedforward+domino+technique+for+wide+fan-in+dynamic+logic. 0
Thermal+estimation+for+accurate+estimation+of+impact+of+BTI+aging+effects+on+nano-scale+SRAM+circuits. 0
Enhanced+IEEE+1500+test+wrapper+for+testing+small+RAMs+in+SOCs. 0
Estimation+of+characteristic+variation+of+photodiodes+and+its+compensation+method+in+an+optically+reconfigurable+gate+array. 0
A+routing+architecture+exploration+for+coarse-grained+reconfigurable+architecture+with+automated+seu-tolerance+evaluation. 0
